# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
nv ce suo 	女廁所	c=1 d=5.80811e-50 t=50309
nv hai 	女孩	c=1 d=1.07935e-16 t=50309
nv hai zi 	女孩子	c=8 d=0.00491728 t=50309
nv peng you 	女朋友	c=25 d=0.17476 t=50309
nv pu 	女僕	c=2 d=6.30491e-45 t=50309
nv ren 	女人	c=7 d=0.171187 t=50309
nv sheng 	女生	c=6 d=1.02832e-05 t=50309
nv you 	女友	c=1 d=7.74364e-22 t=50309
nv zi 	女子	c=1 d=4.21396e-40 t=50309
o 	哦	c=157 d=0.419136 t=50309
o o 	哦哦	c=7 d=0.0173355 t=50309
o o o 	哦哦哦	c=1 d=4.04103e-47 t=50309
ou er 	偶爾	c=1 d=0.013912 t=50309
ou guan 	歐冠	c=0 d=1.70409e-66 t=50309
ou he 	耦合	c=1 d=1.60066e-93 t=50309
ou ku 	漚庫	c=1 d=2.80909e-63 t=50309
pa 	怕	c=7 d=0.000662321 t=50309
pa 	爬	c=36 d=0.0943977 t=50309
pa 	趴	c=2 d=1.8666e-19 t=50309
pa bu pa 	怕不怕	c=1 d=2.74178e-13 t=50309
pa bu shi 	怕不是	c=1 d=1.10897e-11 t=50309
pa chong 	爬蟲	c=2 d=2.97013e-13 t=50309
pa ni 	怕你	c=1 d=4.18711e-53 t=50309
pa pa 	爬爬	c=2 d=6.00048e-51 t=50309
pa sha 	怕啥	c=5 d=1.23427e-35 t=50309
pa shi 	怕是	c=13 d=0.000349153 t=50309
pa zhe 	趴着	c=1 d=4.67905e-07 t=50309
pai 	拍	c=1 d=3.12115e-67 t=50309
pai 	排	c=21 d=3.52868 t=50309
pai 	牌	c=1 d=5.2846e-27 t=50309
pai cha 	排查	c=1 d=2.31708e-33 t=50309
pai chu 	排除	c=3 d=6.70891e-11 t=50309
pai cuo 	排錯	c=3 d=3.95886e-70 t=50309
pai dui 	排隊	c=1 d=1.01965e-23 t=50309
pai gu 	排骨	c=1 d=1.76479e-65 t=50309
pai hang 	排行	c=1 d=3.24687e-61 t=50309
pai hao 	排好	c=7 d=1.06372 t=50309
pai lie 	排列	c=1 d=4.61096e-11 t=50309
pai mian 	牌面	c=2 d=4.41256e-74 t=50309
pai ming 	排名	c=1 d=9.80302e-61 t=50309
pai qi 	排期	c=3 d=5.45111e-39 t=50309
pai wei 	排位	c=1 d=0.000858778 t=50309
pai xu 	排序	c=55 d=4.6604 t=50309
pai zhao 	拍照	c=1 d=4.02006e-74 t=50309
pan 	判	c=7 d=4.07054e-15 t=50309
pan 	盤	c=6 d=2.93519e-42 t=50309
pan dian 	盤點	c=72 d=3.10876e-10 t=50309
pan duan 	判斷	c=54 d=6.66615e-24 t=50309
pan ti 	判題	c=1 d=1.38248e-75 t=50309
pang 	胖	c=3 d=2.90025e-27 t=50309
pang bian 	旁邊	c=1 d=6.50024e-51 t=50309
pang hu 	胖虎	c=1 d=6.66366e-49 t=50309
pao 	拋	c=3 d=7.09888e-79 t=50309
pao 	跑	c=15 d=0.382893 t=50309
pao bu 	跑步	c=1 d=2.75432e-96 t=50309
pao bu liao 	跑不了	c=1 d=4.49898e-104 t=50309
pao chu 	拋出	c=10 d=7.16837e-55 t=50309
pao lai 	跑來	c=1 d=1.60245e-18 t=50309
pao le 	跑了	c=4 d=0.00687406 t=50309
pao lu 	跑路	c=3 d=8.74878e-46 t=50309
pao pao 	泡泡	c=0 d=2.16271e-17 t=50309
pao pao bu 	跑跑步	c=2 d=2.6842e-28 t=50309
pao pao cha hu 	泡泡茶壺	c=1 d=2.17355e-16 t=50309
pao qi 	拋棄	c=1 d=3.43512e-77 t=50309
pao qu 	跑去	c=1 d=1.61048e-18 t=50309
pei 	培	c=2 d=1.17571e-22 t=50309
pei 	沛	c=4 d=6.03888e-49 t=50309
pei 	配	c=11 d=0.000115067 t=50309
pei 	陪	c=1 d=2.03746e-20 t=50309
pei chao 	培超	c=1 d=8.74134e-36 t=50309
pei fu 	佩服	c=1 d=3.54792e-16 t=50309
pei he 	配合	c=4 d=8.45102e-21 t=50309
pei ni 	陪你	c=2 d=4.49558e-07 t=50309
pei song 	配送	c=15 d=5.44944e-09 t=50309
pei wen 	沛文	c=19 d=0.12682 t=50309
pei wo 	陪我	c=1 d=0.0135009 t=50309
pei xu 	丕緒	c=1 d=2.01328e-56 t=50309
pei xun 	培訓	c=8 d=1.18869e-20 t=50309
pei yang 	培養	c=4 d=9.3059e-37 t=50309
pei zhi 	配置	c=73 d=0.713139 t=50309
peng 	彭	c=1 d=8.49338e-21 t=50309
peng 	碰	c=1 d=1.75838e-81 t=50309
peng ke 	朋克	c=2 d=2.62101e-28 t=50309
peng peng 	碰碰	c=1 d=5.54687e-38 t=50309
peng sha 	捧殺	c=1 d=2.04712e-105 t=50309
peng yang 	彭陽	c=1 d=3.21446e-90 t=50309
peng you 	朋友	c=28 d=0.0223802 t=50309
peng yu yan 	彭于晏	c=1 d=1.14649e-20 t=50309
pi 	屁	c=11 d=1.10841e-05 t=50309
pi 	批	c=2 d=7.9681e-64 t=50309
pi ci 	批次	c=16 d=9.39462e-84 t=50309
pi er 	皮兒	c=0 d=6.22268e-68 t=50309
pi fu 	皮膚	c=3 d=1 t=50309
pi jiu 	啤酒	c=8 d=3.34016e-13 t=50309
pi liang 	批量	c=13 d=3.42703e-12 t=50309
pi ma 	匹馬	c=4 d=6.20637e-40 t=50309
pi nang 	皮囊	c=1 d=7.02726e-27 t=50309
pi pei 	匹配	c=36 d=7.46181e-27 t=50309
pi ping 	批評	c=1 d=1.78999e-26 t=50309
pi shi 	屁事	c=2 d=0.145876 t=50309
pi yan 	皮炎	c=1 d=1.82765e-65 t=50309
pian 	偏	c=2 d=2.23354e-11 t=50309
pian 	片	c=1 d=9.53112e-83 t=50309
pian le 	騙了	c=1 d=2.1814e-29 t=50309
pian ni 	騙你	c=1 d=4.27374e-88 t=50309
pian qian 	騙錢	c=2 d=2.2461e-27 t=50309
pian yi 	便宜	c=1 d=4.99026e-88 t=50309
piao 	嫖	c=1 d=2.28305e-06 t=50309
piao 	票	c=2 d=5.52126e-13 t=50309
piao 	飄	c=2 d=2.19353e-06 t=50309
piao hong 	飄紅	c=3 d=1.94714e-16 t=50309
piao liang 	漂亮	c=2 d=1.23431e-06 t=50309
piao piao 	飄飄	c=1 d=2.08848e-105 t=50309
pin 	品	c=1 d=5.87826e-103 t=50309
pin 	拼	c=3 d=1.56448e-30 t=50309
pin fan 	頻繁	c=1 d=0.000578542 t=50309
pin he 	拼合	c=1 d=9.38251e-104 t=50309
pin jie 	拼接	c=3 d=1.02654e-14 t=50309
pin xiang 	品相	c=1 d=7.59006e-51 t=50309
pin zhuang 	拼裝	c=2 d=3.24135e-41 t=50309
ping 	屏	c=2 d=1.74405e-63 t=50309
ping 	平	c=10 d=3.63704e-06 t=50309
ping 	憑	c=1 d=6.95593e-54 t=50309
ping 	瓶	c=1 d=1.6845e-76 t=50309
ping bao 	屏保	c=5 d=0.0154523 t=50309
ping chang 	平常	c=1 d=5.88148e-80 t=50309
ping chang xin 	平常心	c=2 d=0.00368181 t=50309
ping fang 	平方	c=1 d=4.41557e-31 t=50309
ping ge 	評個	c=5 d=1.58596e-14 t=50309
ping gu 	評估	c=4 d=1.30555e-31 t=50309
ping guo 	蘋果	c=19 d=4.14417e-15 t=50309
ping heng 	平衡	c=5 d=3.72788e-37 t=50309
ping lun 	評論	c=3 d=1.26894e-49 t=50309
ping mu 	屏幕	c=3 d=8.89007e-58 t=50309
ping ping dan dan 	平平淡淡	c=1 d=0.000285862 t=50309
ping ping wu qi 	平平無奇	c=3 d=1.19725e-16 t=50309
ping shen 	評審	c=23 d=0.149569 t=50309
ping shi 	平時	c=1 d=5.8188e-101 t=50309
ping tai 	平臺	c=15 d=3.78813e-22 t=50309
po an 	破案	c=1 d=2.98483e-71 t=50309
po fang 	破防	c=3 d=2.8825e-54 t=50309
po huai 	破壞	c=2 d=1.43851e-13 t=50309
po jie 	破解	c=2 d=7.27634e-25 t=50309
pu su 	樸素	c=1 d=5.48514e-24 t=50309
pu tong 	普通	c=3 d=2.27892e-71 t=50309
qi 	器	c=18 d=4.2166e-08 t=50309
qi 	期	c=4 d=8.45254e-17 t=50309
qi 	棋	c=1 d=8.19375e-69 t=50309
qi 	氣	c=1 d=0.036334 t=50309
qi 	琪	c=1 d=1.5851e-37 t=50309
qi 	起	c=8 d=7.28772e-14 t=50309
qi bu shi 	豈不是	c=1 d=3.91972e-12 t=50309
qi che 	汽車	c=1 d=2.343e-105 t=50309
qi che 	騎車	c=7 d=1.79158e-07 t=50309
qi chu 	期初	c=34 d=1.24365e-08 t=50309
qi chuang 	起牀	c=5 d=3.03746e-12 t=50309
qi ci 	其次	c=1 d=7.79785e-104 t=50309
qi da 	七大	c=1 d=2.20131e-77 t=50309
qi dai 	期待	c=2 d=6.12086e-20 t=50309
qi dian 	起點	c=1 d=1.27671e-21 t=50309
qi dong 	啓動	c=5 d=2.86535e-61 t=50309
qi fei 	起飛	c=1 d=3.74636e-68 t=50309
qi fen 	氣氛	c=2 d=3.23207e-100 t=50309
qi guai 	奇怪	c=8 d=0.0284388 t=50309
qi guan 	器官	c=1 d=2.86993e-21 t=50309
qi hong 	起鬨	c=1 d=2.62247e-19 t=50309
qi ji 	奇跡	c=1 d=1.92443e-25 t=50309
qi jian 	期間	c=10 d=4.99839e-19 t=50309
qi lai 	起來	c=25 d=0.318224 t=50309
qi lou 	七樓	c=1 d=1.0192e-106 t=50309
qi mian 	期勉	c=2 d=1.40283e-22 t=50309
qi miao 	奇妙	c=7 d=1.40056e-22 t=50309
qi ming xing 	啓明星	c=1 d=1.84897e-25 t=50309
qi mo 	期末	c=46 d=4.93293e-12 t=50309
qi niang 	七娘	c=0 d=8.90523e-79 t=50309
qi pao 	氣泡	c=1 d=7.24991e-41 t=50309
qi qi guai guai 	奇奇怪怪	c=2 d=9.812e-13 t=50309
qi qiang 	氣槍	c=1 d=2.79907e-21 t=50309
qi ren 	氣人	c=1 d=0.000863083 t=50309
qi shi 	其實	c=51 d=0.00306274 t=50309
qi si 	氣死	c=1 d=1.11712e-97 t=50309
qi ta 	其他	c=72 d=0.240108 t=50309
qi wang 	期望	c=20 d=2.42018e-21 t=50309
qi wang zhi 	期望值	c=1 d=8.54731e-66 t=50309
qi xi 	七夕	c=2 d=3.94086e-18 t=50309
qi xi 	氣息	c=3 d=3.92121e-18 t=50309
qi ye 	企業	c=3 d=1.16282e-10 t=50309
qi yi 	奇異	c=1 d=3.34881e-13 t=50309
qi yong 	啓用	c=3 d=4.19723e-52 t=50309
qi yu 	其餘	c=1 d=1.15404e-09 t=50309
qi yue 	契約	c=13 d=1.57116e-24 t=50309
qi zhong 	其中	c=3 d=7.68513e-21 t=50309
qi zi xing che 	騎自行車	c=1 d=6.80754e-65 t=50309
qia 	恰	c=2 d=2.09951e-20 t=50309
qia fan 	恰飯	c=1 d=6.0951e-88 t=50309
qian 	前	c=36 d=6.86366e-10 t=50309
qian 	淺	c=1 d=2.17283e-75 t=50309
qian 	簽	c=9 d=1.43577e-20 t=50309
qian 	錢	c=12 d=0.599749 t=50309
qian bao 	錢包	c=1 d=6.79503e-14 t=50309
qian dao 	簽到	c=3 d=1.12086e-19 t=50309
qian duan 	前端	c=59 d=0.390739 t=50309
qian duan gai 	前端改	c=1 d=5.83623e-48 t=50309
qian he tong 	簽合同	c=3 d=2.68384e-70 t=50309
qian hou 	前後	c=7 d=1.85939e-29 t=50309
qian hou duan 	前後端	c=8 d=3.90959e-29 t=50309
qian kao bei 	淺拷貝	c=1 d=2.02159e-75 t=50309
qian mian 	前面	c=21 d=2.35091e-23 t=50309
qian ming 	簽名	c=23 d=2.38379 t=50309
qian pian yi lv 	千篇一律	c=1 d=6.6512e-27 t=50309
qian san 	前三	c=1 d=7.77377e-97 t=50309
qian san ming 	前三名	c=2 d=8.46541e-41 t=50309
qian tai 	前臺	c=1 d=1.55911e-19 t=50309
qian ti 	前提	c=4 d=3.8348e-19 t=50309
qian tu 	前途	c=0 d=9.45006e-13 t=50309
qian tu bu ke xian liang 	前途不可限量	c=1 d=9.49743e-12 t=50309
qian wu 	前五	c=1 d=1.36357e-60 t=50309
qian yan 	前言	c=1 d=1.41724e-73 t=50309
qian yi 	遷移	c=3 d=0.000141247 t=50309
qian zhi 	前置	c=1 d=1.27976e-49 t=50309
qian zhui 	前綴	c=3 d=0.0429449 t=50309
qian zhui he 	前綴和	c=4 d=3.66611 t=49639
qiang 	強	c=9 d=0.00396599 t=50309
qiang 	搶	c=7 d=7.31381e-20 t=50309
qiang 	槍	c=4 d=2.62116e-13 t=50309
qiang 	牆	c=1 d=2.7768e-74 t=50309
qiang ban 	槍版	c=1 d=2.94058e-13 t=50309
qiang dao 	強盜	c=1 d=2.02131e-44 t=50309
qiang dao 	搶到	c=4 d=1.56071e-31 t=50309
qiang jian 	強姦	c=1 d=2.84137e-21 t=50309
qiang lie 	強烈	c=1 d=0.000893825 t=50309
qiang zhi 	強制	c=7 d=4.17274e-42 t=50309
qiao 	敲	c=2 d=8.55368e-16 t=50309
qiao jie 	橋接	c=6 d=1.387e-69 t=50309
qiao le 	巧了	c=2 d=1.84865e-23 t=50309
qiao qiao 	悄悄	c=1 d=3.04409e-67 t=50309
qie 	且	c=6 d=2.1127e-05 t=50309
qie 	切	c=9 d=0.000461975 t=50309
qie dao 	切到	c=1 d=1.00803e-94 t=50309
qie huan 	切換	c=3 d=2.18427e-14 t=50309
qie liu 	切流	c=19 d=1.74304 t=50309
qie mian 	切面	c=7 d=1.27889e-41 t=50309
qie pian 	切片	c=1 d=2.82894e-87 t=50309
qie qie shi shi 	切切實實	c=1 d=7.47221e-14 t=50309
qin cai 	芹菜	c=8 d=3.14128e-58 t=50309
qin lai 	親賴	c=1 d=4.95878e-43 t=50309
qin ni 	親昵	c=1 d=9.6128e-07 t=50309
qin qie 	親切	c=1 d=3.65959e-57 t=50309
qin ru 	侵入	c=0 d=3.5814e-98 t=50309
qin yu 	勤於	c=1 d=5.06946e-38 t=50309
qing 	清	c=12 d=0.000252422 t=50309
qing 	請	c=3 d=1.33843e-47 t=50309
qing 	輕	c=1 d=8.98217e-91 t=50309
qing bao 	清薄	c=1 d=7.01367e-63 t=50309
qing chi 	情癡	c=1 d=8.56971e-38 t=50309
qing chu 	清楚	c=19 d=1.01401e-26 t=50309
qing chu 	清除	c=6 d=0.0881187 t=50309
qing dan 	清淡	c=2 d=9.90018e-30 t=50309
qing hua 	清華	c=1 d=2.23936e-14 t=50309
qing jia 	請假	c=6 d=0.0065062 t=50309
qing kong 	清空	c=6 d=1.81427e-08 t=50309
qing kuang 	情況	c=49 d=0.0106202 t=50309
qing kuang xia 	情況下	c=1 d=3.68157e-98 t=50309
qing qiu 	請求	c=34 d=0.921525 t=50309
qing ren 	情人	c=1 d=3.79123e-61 t=50309
qing song 	輕鬆	c=4 d=7.38104e-46 t=50309
qing su 	傾訴	c=1 d=2.06207e-73 t=50309
qing tang 	清湯	c=1 d=8.99807e-53 t=50309
qing ting 	傾聽	c=1 d=5.88031e-107 t=50309
qing wen 	請問	c=3 d=0.000145549 t=50309
qing wo 	請我	c=1 d=1.31492e-15 t=50309
qing xi 	清晰	c=19 d=2.91876e-43 t=50309
qing xi 	清洗	c=1 d=1.18056e-41 t=50309
qing xiang 	傾向	c=1 d=2.36308e-29 t=50309
qing xin gua yu 	清心寡慾	c=1 d=1.88991e-18 t=50309
qing xing 	清醒	c=2 d=5.28803e-64 t=50309
qing xu 	情緒	c=3 d=7.34248e-35 t=50309
qing yi 	輕易	c=2 d=8.49482e-23 t=50309
qing yin 	輕音	c=2 d=1.02867e-09 t=50309
qing zhu 	慶祝	c=1 d=1.69237e-72 t=50309
qiu 	求	c=13 d=0.0317456 t=50309
qiu 	球	c=4 d=6.61919e-06 t=50309
qiu he 	求和	c=5 d=6.97582e-103 t=50309
qiu tian 	秋天	c=1 d=3.13903e-46 t=50309
qu 	區	c=7 d=3.87004e-09 t=50309
qu 	取	c=18 d=0.458406 t=50309
qu bei 	曲背	c=1 d=1.62065e-92 t=50309
qu bie 	區別	c=9 d=6.63448e-25 t=50309
qu chong 	取重	c=1 d=7.92701e-62 t=50309
qu chong 	驅蟲	c=3 d=2.56339e-45 t=50309
qu chu 	去除	c=2 d=4.10796e-05 t=50309
qu chu lai 	取出來	c=1 d=3.84407e-18 t=50309
qu diao 	去掉	c=5 d=3.75439e-05 t=50309
qu jian 	區間	c=7 d=0.129374 t=50309
qu le 	去了	c=1 d=1.62098e-65 t=50309
qu liu 	去留	c=1 d=5.41988e-89 t=50309
qu mai 	去買	c=1 d=1.02469e-81 t=50309
qu ming zi 	取名字	c=1 d=6.88907e-58 t=50309
qu nian 	去年	c=1 d=1.82076e-50 t=50309
qu qian 	取錢	c=1 d=1 t=49611
qu xiang 	去向	c=2 d=1.24247e-74 t=50309
qu xiao 	取消	c=7 d=6.42081e-23 t=50309
qu zhao 	去找	c=1 d=1.3777e-93 t=50309
qu zhi 	取值	c=1 d=3.21412e-30 t=50309
quan 	全	c=18 d=4.58796e-11 t=50309
quan 	勸	c=1 d=1.07174e-21 t=50309
quan 	權	c=2 d=1.08809e-52 t=50309
quan biao 	全表	c=3 d=1.07253e-74 t=50309
quan bu 	全部	c=24 d=1.36866 t=50309
quan chang 	全場	c=1 d=0.00357068 t=50309
quan hang 	全行	c=1 d=5.45482e-47 t=50309
quan heng 	權衡	c=1 d=5.48216e-47 t=50309
quan ju 	全局	c=4 d=3.15074e-34 t=50309
quan ju guan 	全局觀	c=1 d=3.64331e-34 t=50309
quan liang 	全量	c=2 d=3.72451e-58 t=50309
quan liu cheng 	全流程	c=1 d=4.31329e-20 t=50309
quan mei le 	全沒了	c=1 d=1.39899e-97 t=50309
quan mian 	全面	c=6 d=7.88479e-58 t=50309
quan ni 	勸你	c=1 d=9.66099e-07 t=50309
quan pan 	全盤	c=1 d=1.24038e-93 t=50309
quan ping 	全屏	c=2 d=4.61377e-69 t=50309
quan qian 	圈錢	c=1 d=0.000291637 t=50309
quan shen 	全身	c=1 d=1.16623e-15 t=50309
quan shi 	全市	c=1 d=3.47319e-89 t=50309
quan shi 	全是	c=19 d=0.00501661 t=50309
quan ta 	勸他	c=1 d=1.05579e-21 t=50309
quan tou 	拳頭	c=1 d=7.11384e-24 t=50309
quan wo 	勸我	c=1 d=0.0308074 t=50309
quan xian 	權限	c=57 d=2.7815 t=50309
quan yao 	權要	c=1 d=2.03815e-24 t=50309
quan yuan 	全員	c=1 d=4.59421e-27 t=50309
quan zai 	全在	c=1 d=1.82113e-23 t=50309
quan zi 	圈子	c=3 d=7.61254e-27 t=50309
que 	卻	c=1 d=8.86109e-49 t=50309
que 	確	c=4 d=3.03064e-44 t=50309
que 	缺	c=5 d=4.28667e-06 t=50309
que dian 	缺點	c=8 d=6.05423e-80 t=50309
que ren 	確認	c=45 d=0.000100953 t=50309
que shi 	確實	c=122 d=1.12585 t=50309
que xian 	缺陷	c=9 d=2.36759e-22 t=50309
qun 	羣	c=9 d=2.25673e-09 t=50309
qun li 	羣裏	c=14 d=0.0564161 t=50309
qun liao 	羣聊	c=1 d=6.91065e-36 t=50309
qun you 	羣友	c=1 d=2.42283e-58 t=50309
qun zhu 	羣主	c=2 d=1.54975e-07 t=50309
qun zi 	裙子	c=1 d=3.17058e-46 t=50309
ran er 	然而	c=2 d=1.33916e-24 t=50309
ran hou 	然後	c=82 d=0.637857 t=50309
rang 	讓	c=20 d=2.36634e-22 t=50309
rang ni 	讓你	c=7 d=4.23102e-28 t=50309
rang ni men 	讓你們	c=1 d=7.62656e-78 t=50309
rang ren 	讓人	c=2 d=1.23553e-47 t=50309
rang ta 	讓他	c=1 d=2.31339e-73 t=50309
rang ta 	讓她	c=1 d=1.32629e-28 t=50309
rang ta 	讓它	c=2 d=8.19149e-07 t=50309
rang ta men 	讓他們	c=1 d=4.23883e-21 t=50309
rang wo 	讓我	c=7 d=1.25749e-19 t=50309
rang wo men 	讓我們	c=2 d=2.97513e-83 t=50309
rao 	繞	c=1 d=1.22857e-11 t=50309
rao bu kai 	繞不開	c=1 d=1.23473e-10 t=50309
re 	熱	c=2 d=6.16932e-46 t=50309
re ba 	熱巴	c=2 d=7.94508e-30 t=50309
re dian 	熱點	c=2 d=3.9079e-57 t=50309
re du 	熱度	c=2 d=3.30524e-06 t=50309
re huo 	熱火	c=1 d=3.70215e-46 t=50309
re liang 	熱量	c=2 d=5.52655e-46 t=50309
re nao 	熱鬧	c=1 d=1.35534e-77 t=50309
re ni 	惹你	c=2 d=2.46086e-06 t=50309
re qi dong 	热启动	c=3 d=4.38724e-90 t=50309
re qing 	熱情	c=1 d=6.47311e-90 t=50309
re re nao nao 	熱熱鬧鬧	c=1 d=4.03471e-58 t=50309
re sou 	熱搜	c=1 d=4.98957e-57 t=50309
ren 	人	c=20 d=0.0228286 t=50309
ren 	仁	c=1 d=0.0611149 t=50309
ren 	忍	c=4 d=0.04265 t=50309
ren 	認	c=2 d=0.0144798 t=50309
ren bu zhu 	忍不住	c=1 d=5.20044e-44 t=50309
ren cai 	人才	c=4 d=0.0658748 t=50309
ren dou 	人都	c=1 d=1.79457e-56 t=50309
ren duo 	人多	c=1 d=6.55664e-35 t=50309
ren he 	任何	c=4 d=2.83799e-07 t=50309
ren jia 	人家	c=24 d=0.0155857 t=50309
ren ke 	認可	c=1 d=3.21565e-65 t=50309
ren li 	人力	c=1 d=1 t=49203
ren ren zhen zhen 	認認真真	c=1 d=7.53399e-52 t=50309
ren shi 	人事	c=1 d=1 t=49236
ren shi 	認識	c=6 d=5.312e-29 t=50309
ren shou 	人壽	c=2 d=0.00410726 t=50309
ren shou xian 	仁壽縣	c=3 d=2.78765 t=49229
ren shu 	人數	c=1 d=9.32522e-32 t=50309
ren wei 	認爲	c=5 d=5.59214e-16 t=50309
ren wu 	任務	c=32 d=0.392586 t=50309
ren yi 	任意	c=10 d=1.79562e-39 t=50309
ren yuan 	人員	c=4 d=0.00465413 t=50309
ren zhe 	忍者	c=0 d=6.44762e-74 t=50309
ren zhe cun 	忍者存	c=1 d=6.47995e-73 t=50309
ren zhen 	認真	c=1 d=1.6163e-31 t=50309
ren zheng 	認證	c=3 d=0.980199 t=50309
ren zhi 	認知	c=1 d=2.26558e-92 t=50309
ren zuo 	人做	c=1 d=5.59767e-57 t=50309
ren zuo 	認作	c=1 d=5.62573e-57 t=50309
ri 	日	c=4 d=8.63817e-14 t=50309
ri bao 	日報	c=12 d=1.63593e-26 t=50309
ri ben 	日本	c=1 d=3.36664e-46 t=50309
ri chang 	日常	c=5 d=6.22416e-14 t=50309
ri cheng 	日程	c=1 d=6.7373e-90 t=50309
ri hou 	日後	c=1 d=7.67263e-90 t=50309
ri jie 	日結	c=32 d=0.00028226 t=50309
ri jiu sheng qing 	日久生情	c=1 d=7.74974e-90 t=50309
ri li 	日曆	c=8 d=0.379083 t=50309
ri long 	日龍	c=141 d=0.000432496 t=50309
ri qi 	日期	c=17 d=9.90028e-16 t=50309
ri zhi 	日誌	c=52 d=0.544907 t=50309
ri zi 	日子	c=5 d=6.31693e-38 t=50309
rong 	冗	c=1 d=5.21268e-101 t=50309
rong chang 	冗長	c=1 d=3.39678e-92 t=50309
rong hua 	融化	c=1 d=2.72894e-46 t=50309
rong liang 	容量	c=1 d=9.4942e-08 t=50309
rong qi 	容器	c=2 d=1.0868e-38 t=50309
rong yao 	榮耀	c=2 d=0.055299 t=50309
rong yi 	容易	c=9 d=4.00858e-11 t=50309
rong yu 	冗餘	c=2 d=9.26737e-47 t=50309
rong zai 	容災	c=3 d=2.86828e-73 t=50309
rou 	揉	c=1 d=3.02633e-57 t=50309
rou 	肉	c=2 d=8.87827e-13 t=50309
rou lei 	肉類	c=1 d=2.87659e-107 t=50309
ru 	入	c=35 d=0.29387 t=50309
ru 	如	c=5 d=6.15363e-24 t=50309
ru can 	懦孱	c=2 d=4.05714e-35 t=50309
ru ci 	如此	c=2 d=4.08012e-72 t=50309
ru dui 	入隊	c=1 d=1.19885e-16 t=50309
ru guo 	如果	c=125 d=0.574724 t=50309
ru he 	如何	c=18 d=3.23308e-11 t=50309
ru kou 	入口	c=2 d=8.35366e-05 t=50309
ru ku 	入庫	c=49 d=1.13774e-16 t=50309
ru ku dan 	入庫單	c=2 d=1.04945e-09 t=50309
ru men 	入門	c=5 d=7.66283e-30 t=50309
ru tu 	如圖	c=7 d=1.78794e-61 t=50309
ru xia 	如下	c=3 d=2.50862e-85 t=50309
ru ye 	乳液	c=1 d=8.10808e-63 t=50309
ru ye 	如也	c=1 d=8.14872e-63 t=50309
ru zhan 	入棧	c=1 d=6.37282e-24 t=50309
ru zhi 	入職	c=5 d=3.66656e-50 t=50309
ruan 	軟	c=2 d=9.05911e-41 t=50309
ruan jian 	軟件	c=8 d=5.35062e-26 t=50309
rui 	銳	c=1 d=4.02087e-47 t=50309
rui ya 	瑞亞	c=2 d=0.187308 t=50309
ruo 	弱	c=1 d=2.62819e-74 t=50309
ruo 	若	c=2 d=1.32512e-47 t=50309
ruo long 	篛籠	c=1 d=3.188e-81 t=50309
sa 	撒	c=1 d=1.87659e-23 t=50309
sai 	塞	c=1 d=1 t=49372
sai dao 	賽道	c=4 d=2.40795e-15 t=50309
sai ma 	賽馬	c=3 d=4.6273e-15 t=50309
san 	三	c=27 d=3.65697e-15 t=50309
san 	傘	c=3 d=3.80643e-07 t=50309
san 	叄	c=1 d=1.4795e-20 t=50309
san bian 	三遍	c=1 d=4.14346e-18 t=50309
san bu 	散步	c=3 d=3.96323e-68 t=50309
san ci 	三次	c=6 d=0.0173992 t=50309
san ci yuan 	三次元	c=1 d=0.000247277 t=50309
san dian 	三點	c=1 d=3.21183e-51 t=50309
san du 	三度	c=1 d=0.000765486 t=50309
san fang 	三方	c=10 d=1.74342e-10 t=50309
san fen zhong 	三分鐘	c=1 d=2.87766e-82 t=50309
san ge 	三個	c=12 d=0.0682212 t=50309
san hang 	三行	c=1 d=4.09277e-79 t=50309
san ju hua 	三句話	c=1 d=2.1316e-22 t=50309
san san 	散散	c=1 d=2.21625e-39 t=50309
san tian 	三天	c=3 d=5.2178e-70 t=50309
san wei 	三位	c=1 d=3.11372e-39 t=50309
san wei shu 	三位數	c=1 d=1.10056e-39 t=50309
san zhi 	三隻	c=1 d=8.40315e-13 t=50309
san zhong 	三種	c=1 d=8.24181e-79 t=50309
san zhou 	三週	c=2 d=1.30859e-17 t=50309
sang 	嗓	c=1 d=1.68518e-22 t=50309
sao 	騷	c=1 d=1.18398e-75 t=50309
sao miao 	掃描	c=1 d=3.6406e-84 t=50309
se 	色	c=1 d=1.70472e-40 t=50309
sha 	傻	c=3 d=0.00126292 t=50309
sha 	啥	c=18 d=0.362432 t=50309
sha 	殺	c=4 d=2.18556e-22 t=50309
sha b 	傻B	c=1 d=1.07969e-49 t=50309
sha bi 	傻逼	c=18 d=5.70602e-12 t=50309
sha chuan 	殺傳	c=1 d=2.09986e-22 t=50309
sha diao 	沙雕	c=1 d=4.25762e-73 t=50309
sha dou 	啥都	c=1 d=1.08097e-63 t=50309
sha le 	傻了	c=2 d=3.14234e-29 t=50309
sha le 	殺了	c=1 d=8.5729e-13 t=50309
sha qiu 	沙丘	c=1 d=1.57698e-06 t=50309
sha ren 	殺人	c=1 d=1.30002e-28 t=50309
sha shi 	啥事	c=4 d=1.94073e-36 t=50309
sha tie zi 	啥帖子	c=1 d=2.46849e-13 t=50309
sha yang 	啥樣	c=3 d=5.80039e-05 t=50309
